lv1_U,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
br_,br_,br_,lT_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_
br_,br_,br_,ld_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_
br_,br_,br_,ld_,br_,br_,br_,pr_,pr_,pr_,pr_,pr_,pr_,pr_,br_,br_
br_,br_,br_,ld_,br_,br_,br_,pr_,pr_,pr_,pr_,pr_,pr_,pr_,br_,br_
br_,br_,br_,ld_,br_,br_,br_,pr_,pr_,pr_,pr_,pr_,pr_,pr_,br_,br_
br_,br_,br_,ld_,br_,br_,br_,pt_,bw_,pt_,kspt_,kspt_,kspt_,pt_,br_,br_
br_,br_,br_,ld_,br_,br_,br_,br_,br_,br_,br_,ld_,br_,br_,br_,br_
br_,br_,pr_,ld_,pr_,pr_,pr_,pr_,pr_,pr_,pr_,ld_,pr_,pr_,br_,br_
br_,br_,pt_,ld_,pt_,pt_,pt_,pt_,pt_,pt_,pt_,ld_,pt_,pt_,br_,br_
br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_
br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_,br_
